Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,532593294,54240,0
tictoc__mpi_recvwait,674,454656,140192,0
tictoc__mpi_recvcopy,674,133237688,54080,0
tictoc__mpi_sendwait,1124,853524,233792,0
tictoc__mpi_norm,2,17120491,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,63788566,5712896,0
tictoc__volumeviscterms!,224,5252485076,466352059,225902108
tictoc__faceviscterms!,224,5231008924,445337568,242179864
tictoc__update_aux_diffusive!,224,22923,0,0
tictoc__volumerhs!,224,8284952389,791630889,436986173
tictoc__facerhs!,224,9046217654,813139349,839204285
tictoc__update!,224,533874743,28054851,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,42125190557,3212113418,2098361590
tictoc__solve!,1,35733175090,3294786257,2130989288
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2960320162,149075867,316730412
tictoc__mpi_recvwait,674,724517817,172544,0
tictoc__mpi_recvcopy,674,1901124042,120801124,0
tictoc__mpi_sendwait,1124,1620378,287744,0
tictoc__mpi_norm,2,18868343,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,68120134,5712896,0
tictoc__volumeviscterms!,224,5253429296,466217529,283699678
tictoc__faceviscterms!,224,5050699318,442836715,207816626
tictoc__update_aux_diffusive!,224,41149,0,0
tictoc__volumerhs!,224,8423154939,792655347,391561620
tictoc__facerhs!,224,9217632002,813023178,956171578
tictoc__update!,224,449391720,24628699,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,40868844670,3006571306,1688314263
tictoc__solve!,1,37568674161,3369615109,2171173908
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2861977433,149069211,68736013
tictoc__mpi_recvwait,674,3890118741,183328,0
tictoc__mpi_recvcopy,674,2083214620,120802692,45445832
tictoc__mpi_sendwait,1124,2402725,305728,0
tictoc__mpi_norm,2,195218039,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,80329973,5712896,0
tictoc__volumeviscterms!,224,5318567761,466892427,210905448
tictoc__faceviscterms!,224,5121444061,442797999,183588725
tictoc__update_aux_diffusive!,224,55627,0,0
tictoc__volumerhs!,224,8522209141,791555847,459736338
tictoc__facerhs!,224,9370648142,813062862,912946188
tictoc__update!,224,450775764,24615947,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,43864376413,2931708285,2074595856
tictoc__solve!,1,39112122639,3369888967,2153738537
Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,563937232,43456,0
tictoc__mpi_recvwait,674,421826,140192,0
tictoc__mpi_recvcopy,674,128326507,43296,0
tictoc__mpi_sendwait,1124,842297,233792,0
tictoc__mpi_norm,2,15195836,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,60944665,5669888,0
tictoc__volumeviscterms!,224,5327657659,469327418,159391413
tictoc__faceviscterms!,224,5792967069,449385189,266357994
tictoc__update_aux_diffusive!,224,23310,0,0
tictoc__volumerhs!,224,9087287091,793231975,925838381
tictoc__facerhs!,224,10524613008,827971532,340348873
tictoc__update!,224,619303405,29514296,61264285
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,41488647305,3207412489,1994996885
tictoc__solve!,1,38684797625,3323743904,2085177588
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3037858930,145545583,346662896
tictoc__mpi_recvwait,674,321970597,172544,0
tictoc__mpi_recvcopy,674,1978268443,112995421,0
tictoc__mpi_sendwait,1124,2243387,287744,0
tictoc__mpi_norm,2,15550222,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,63394484,5669888,0
tictoc__volumeviscterms!,224,5361265405,469443994,225287480
tictoc__faceviscterms!,224,5515374422,444284039,209348635
tictoc__update_aux_diffusive!,224,36070,0,0
tictoc__volumerhs!,224,8696864603,791142821,507319217
tictoc__facerhs!,224,10869330307,829254878,782512522
tictoc__update!,224,494801666,26074202,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,40876824887,3029924272,1526954591
tictoc__solve!,1,39697777474,3389783470,2098182835
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3065230560,145544863,305453324
tictoc__mpi_recvwait,674,1358216710,183328,0
tictoc__mpi_recvcopy,674,2041660847,112733165,0
tictoc__mpi_sendwait,1124,2967457,305728,0
tictoc__mpi_norm,2,50940614,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,73197758,5669888,0
tictoc__volumeviscterms!,224,5662166124,469269226,259578741
tictoc__faceviscterms!,224,5666531795,443890215,213140818
tictoc__update_aux_diffusive!,224,61137,0,0
tictoc__volumerhs!,224,9038245320,791015397,373062671
tictoc__facerhs!,224,11554684633,828137837,987087118
tictoc__update!,224,470536309,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
