Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,131765133,13920,0
tictoc__mpi_recvwait,170,183629,35360,0
tictoc__mpi_recvcopy,170,33853004,13760,0
tictoc__mpi_sendwait,284,259564,59072,0
tictoc__mpi_norm,2,17764357,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,16600021,1428224,0
tictoc__volumeviscterms!,56,5208783356,464373769,237435277
tictoc__faceviscterms!,56,5357480816,443307971,296355294
tictoc__update_aux_diffusive!,56,6155,0,0
tictoc__volumerhs!,56,8825518273,790662636,775028454
tictoc__facerhs!,56,8210967365,807440386,406524895
tictoc__update!,56,484810559,27109507,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,41929069818,3035402752,3127536770
tictoc__solve!,1,34974743773,3278612402,2133366979
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,2476417352,146385227,22827637
tictoc__mpi_recvwait,170,192995348,43520,0
tictoc__mpi_recvcopy,170,1880929177,118129428,64776289
tictoc__mpi_sendwait,284,543500,72704,0
tictoc__mpi_norm,2,37418230,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,19551738,1428224,0
tictoc__volumeviscterms!,56,5293632490,464473227,187995502
tictoc__faceviscterms!,56,5166640267,438799423,233491381
tictoc__update_aux_diffusive!,56,13036,0,0
tictoc__volumerhs!,56,8712062851,787968471,643613406
tictoc__facerhs!,56,8325251216,807389963,422329090
tictoc__update!,56,422944030,23669963,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,42099522922,3337961466,1764058159
tictoc__solve!,1,36223294673,3342729877,1861731052
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,2533833925,146373931,26804702
tictoc__mpi_recvwait,170,1013978366,46240,0
tictoc__mpi_recvcopy,170,2111409283,118102020,254243546
tictoc__mpi_sendwait,284,1352369,77248,0
tictoc__mpi_norm,2,19145813,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,20702506,1428224,0
tictoc__volumeviscterms!,56,5471002784,464882971,246744693
tictoc__faceviscterms!,56,5171830905,438847567,199634094
tictoc__update_aux_diffusive!,56,13251,0,0
tictoc__volumerhs!,56,8615012182,787981959,385107507
tictoc__facerhs!,56,8943969222,807504875,457974324
tictoc__update!,56,429314134,23669963,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,44244710085,3442014650,2423638695
tictoc__solve!,1,37461460915,3342869909,1538842582
Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,139511136,11200,0
tictoc__mpi_recvwait,170,122437,35360,0
tictoc__mpi_recvcopy,170,32521294,11040,0
tictoc__mpi_sendwait,284,211159,59072,0
tictoc__mpi_norm,2,15261462,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,14816217,1417472,0
tictoc__volumeviscterms!,56,5213109483,467439706,254750739
tictoc__faceviscterms!,56,5480967683,446535368,187944563
tictoc__update_aux_diffusive!,56,6183,0,0
tictoc__volumerhs!,56,8708272563,789528804,655033988
tictoc__facerhs!,56,10682527173,823594220,646816586
tictoc__update!,56,533803747,28567416,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,38070186408,3075942719,1529435695
tictoc__solve!,1,37232624962,3305440976,2090074146
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,2377412147,142819807,84097947
tictoc__mpi_recvwait,170,250195063,43520,0
tictoc__mpi_recvcopy,170,1656935171,110269789,23566932
tictoc__mpi_sendwait,284,1364537,72704,0
tictoc__mpi_norm,2,49637163,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,18186872,1417472,0
tictoc__volumeviscterms!,56,5255647200,467557018,185094967
tictoc__faceviscterms!,56,5400166929,440273543,210625075
tictoc__update_aux_diffusive!,56,13262,0,0
tictoc__volumerhs!,56,8599180478,787428005,370196975
tictoc__facerhs!,56,11294346668,824989022,980934008
tictoc__update!,56,438938086,25133402,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,41533410125,3381137776,1422006427
tictoc__solve!,1,39135634355,3364760014,2124456010
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,2554876888,142819087,66750489
tictoc__mpi_recvwait,170,8214209938,46240,0
tictoc__mpi_recvcopy,170,1859675126,110007533,24240676
tictoc__mpi_sendwait,284,60814574,77248,0
tictoc__mpi_norm,2,235701492,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,20203707,1417472,0
tictoc__volumeviscterms!,56,5537352515,467382250,227558643
tictoc__faceviscterms!,56,5525275448,439879479,209151296
tictoc__update_aux_diffusive!,56,14549,0,0
