Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,441405287,212160,0
tictoc__mpi_recvwait,2648,1739492,550784,0
tictoc__mpi_recvcopy,2648,166763439,212000,0
tictoc__mpi_sendwait,4414,2884406,918112,0
tictoc__mpi_norm,2,17068935,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,242154798,22494528,0
tictoc__volumeviscterms!,882,5268420089,473814729,196120937
tictoc__faceviscterms!,882,5810654581,463135027,688196877
tictoc__update_aux_diffusive!,882,90738,0,0
tictoc__volumerhs!,882,8075103019,806998473,415644409
tictoc__facerhs!,882,8225912004,828384802,421426344
tictoc__update!,882,613167657,31774371,45026537
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,37103958890,2603336665,1449222842
tictoc__solve!,1,35468247061,3372728863,2085475177
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3276023542,166653847,94546865
tictoc__mpi_recvwait,2648,391934311,677888,0
tictoc__mpi_recvcopy,2648,2473175671,131614788,0
tictoc__mpi_sendwait,4414,5747175,1129984,0
tictoc__mpi_norm,2,17856318,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,250804463,22438080,0
tictoc__volumeviscterms!,882,5647343201,473606201,370359659
tictoc__faceviscterms!,882,5334677459,458611403,296955892
tictoc__update_aux_diffusive!,882,95268,0,0
tictoc__volumerhs!,882,8992500256,806517603,501632946
tictoc__facerhs!,882,10009228044,829723930,1393186902
tictoc__update!,882,494827396,28345739,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,42136139745,2745709987,1981139663
tictoc__solve!,1,41415803483,3467306005,3247781126
Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,468212369,169792,0
tictoc__mpi_recvwait,2648,1728276,550784,0
tictoc__mpi_recvcopy,2648,162060318,169632,0
tictoc__mpi_sendwait,4414,2967725,918112,0
tictoc__mpi_norm,2,15577407,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,229003308,22325184,0
tictoc__volumeviscterms!,882,5361237312,476717962,188893155
tictoc__faceviscterms!,882,6314265428,467655577,683447798
tictoc__update_aux_diffusive!,882,88850,0,0
tictoc__volumerhs!,882,8498242992,805743603,395546319
tictoc__facerhs!,882,10674918906,844612540,502924223
tictoc__update!,882,599574938,33193016,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,37951016068,2623949231,1491536415
tictoc__solve!,1,38858939526,3400501024,2131950476
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3426169980,156251119,424753734
tictoc__mpi_recvwait,2648,329862219,677888,0
tictoc__mpi_recvcopy,2648,2364837315,123672317,17308282
tictoc__mpi_sendwait,4414,5860522,1129984,0
tictoc__mpi_norm,2,50503516,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,256641090,22268736,0
tictoc__volumeviscterms!,882,5738989755,478165931,522025413
tictoc__faceviscterms!,882,5607843780,459408951,234203281
tictoc__update_aux_diffusive!,882,127656,0,0
tictoc__volumerhs!,882,8763548428,805701573,409631631
tictoc__facerhs!,882,10906128623,844786493,490207906
tictoc__update!,882,498941580,29759002,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,40684787807,2758401904,1447649894
tictoc__solve!,1,41651202094,3487291182,2316653576
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3399152329,156220111,0
tictoc__mpi_recvwait,2648,6996388383,720256,0
tictoc__mpi_recvcopy,2648,2752937978,123408701,38149184
tictoc__mpi_sendwait,4414,13938554,1200608,0
tictoc__mpi_norm,2,176759951,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,287327057,22226400,0
tictoc__volumeviscterms!,882,5668398246,476561098,311115355
tictoc__faceviscterms!,882,6072051586,459485239,591673026
tictoc__update_aux_diffusive!,882,212557,0,0
tictoc__volumerhs!,882,9001137206,805466309,426479434
tictoc__facerhs!,882,11206513297,844732733,552497969
tictoc__update!,882,533598780,29757562,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,44819422180,2741351793,2153957643
tictoc__solve!,1,48813259151,3486161693,2227216828
Ranks,4
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3556374408,156220255,214319783
tictoc__mpi_recvwait,2648,1264487256,720256,0
tictoc__mpi_recvcopy,2648,2628794190,123408557,0
tictoc__mpi_sendwait,4414,82974043,1200608,0
tictoc__mpi_norm,2,177021305,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,292407809,22226400,0
tictoc__volumeviscterms!,882,6224348841,476561098,359780159
tictoc__faceviscterms!,882,7175395039,459484855,516123067
tictoc__update_aux_diffusive!,882,197227,0,0
tictoc__volumerhs!,882,10888125536,805665493,1269072388
tictoc__facerhs!,882,11729230595,844732733,645235512
tictoc__update!,882,589691653,29701114,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,44938548428,2722712625,1940321108
tictoc__solve!,1,48606173360,3486234061,3270811349
Ranks,6
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3375440418,156224127,29732743
tictoc__mpi_recvwait,2648,3545770120,847360,0
tictoc__mpi_recvcopy,2648,3007833031,130163335,139186956
tictoc__mpi_sendwait,4414,78817023,1412480,0
tictoc__mpi_norm,2,818991078,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,386011963,22226400,90588447
tictoc__volumeviscterms!,882,6368360399,476613546,292329991
tictoc__faceviscterms!,882,7301917369,459341751,270618158
tictoc__update_aux_diffusive!,882,204147,0,0
tictoc__volumerhs!,882,12188622558,807099638,985119568
tictoc__facerhs!,882,12509217594,844743933,696386419
tictoc__update!,882,663970341,29702554,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,53132705029,2701165088,2278940956
tictoc__solve!,1,55235946767,3488547086,2783505299
Ranks,8
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3743930487,156245551,71639313
tictoc__mpi_recvwait,2648,37058518152,889728,0
tictoc__mpi_recvcopy,2648,3486476291,123408589,319191216
tictoc__mpi_sendwait,4414,554112519,1483104,0
tictoc__mpi_norm,2,514696247,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,371509047,22226400,0
tictoc__volumeviscterms!,882,6499374909,476532394,316104745
tictoc__faceviscterms!,882,7009438495,459412999,294013838
tictoc__update_aux_diffusive!,882,172575,0,0
tictoc__volumerhs!,882,12383909703,805557445,1218149930
tictoc__facerhs!,882,14253220565,844731933,541064465
tictoc__update!,882,879800691,29644666,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,66426559596,2687240274,1867455372
tictoc__solve!,1,78670773234,3487899437,2857199481
Ranks,10
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3289752417,156245551,73629111
tictoc__mpi_recvwait,2648,13122062357,889728,0
tictoc__mpi_recvcopy,2648,3024273299,123408589,263450125
tictoc__mpi_sendwait,4414,322456360,1483104,0
tictoc__mpi_norm,2,578251073,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,882,371974461,22226400,77497749
tictoc__volumeviscterms!,882,6641494847,476532394,342912361
tictoc__faceviscterms!,882,6623437269,459412999,312121457
tictoc__update_aux_diffusive!,882,196843,0,0
tictoc__volumerhs!,882,10984726490,805557445,769570490
tictoc__facerhs!,882,11904818048,844731933,459392735
tictoc__update!,882,535236843,29649386,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,49407124378,2680053298,1845273805
tictoc__solve!,1,60521270582,3487904157,2359566743
Ranks,12
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,2648,3500484319,156245423,29180335
tictoc__mpi_recvwait,2648,19084083069,889728,0
tictoc__mpi_recvcopy,2648,2958437473,123410445,62265693
tictoc__mpi_sendwait,4414,1158419670,1483104,0
tictoc__mpi_norm,2,316892767,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
