Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,109695912,54240,0
tictoc__mpi_recvwait,674,450558,140192,0
tictoc__mpi_recvcopy,674,42893296,54080,0
tictoc__mpi_sendwait,1124,772807,233792,0
tictoc__mpi_norm,2,17642037,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,62960374,5712896,0
tictoc__volumeviscterms!,224,5343438912,466185881,434959138
tictoc__faceviscterms!,224,5253698553,447284035,221974920
tictoc__update_aux_diffusive!,224,20722,0,0
tictoc__volumerhs!,224,8174382751,792091833,420485004
tictoc__facerhs!,224,8688707292,811779282,456953272
tictoc__update!,224,495856361,28058211,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,37026604016,2600780959,1432038881
tictoc__solve!,1,34711560175,3296123599,1849494217
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2473285862,149180555,88939898
tictoc__mpi_recvwait,674,1319102436,172544,0
tictoc__mpi_recvcopy,674,1870416454,120802164,0
tictoc__mpi_sendwait,1124,1680930,287744,0
tictoc__mpi_norm,2,19567144,804192,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,68722983,5712896,0
tictoc__volumeviscterms!,224,5233152223,466149945,247169407
tictoc__faceviscterms!,224,5153355917,442835819,240498159
tictoc__update_aux_diffusive!,224,38762,0,0
tictoc__volumerhs!,224,8924924050,791756435,624298100
tictoc__facerhs!,224,9770504183,811618599,1094283619
tictoc__update!,224,581904489,24624075,122267618
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,41478072251,2818352311,1500937720
tictoc__solve!,1,37993994863,3367068210,2684567431
Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,120474026,43456,0
tictoc__mpi_recvwait,674,417001,140192,0
tictoc__mpi_recvcopy,674,41920222,43296,0
tictoc__mpi_sendwait,1124,736039,233792,0
tictoc__mpi_norm,2,16333890,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,59180380,5669888,0
tictoc__volumeviscterms!,224,5199657753,469327306,213860661
tictoc__faceviscterms!,224,6031541376,451947801,675007905
tictoc__update_aux_diffusive!,224,23301,0,0
tictoc__volumerhs!,224,8403494489,791193907,341851633
tictoc__facerhs!,224,10725875241,827904604,491528395
tictoc__update!,224,519628753,29508216,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,37071483629,2624019279,1462443085
tictoc__solve!,1,37608473097,3324298928,2054482047
Ranks,2
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2523314987,145545583,131876499
tictoc__mpi_recvwait,674,68566720,172544,0
tictoc__mpi_recvcopy,674,1899532913,112995421,114023867
tictoc__mpi_sendwait,1124,1512197,287744,0
tictoc__mpi_norm,2,19211541,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,62156699,5669888,0
tictoc__volumeviscterms!,224,5330876687,469443994,206192005
tictoc__faceviscterms!,224,5475844513,444284039,217763464
tictoc__update_aux_diffusive!,224,33317,0,0
tictoc__volumerhs!,224,8640897148,791142821,299524905
tictoc__facerhs!,224,11198006528,829254878,829259968
tictoc__update!,224,442405377,26074202,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,40431073593,2833731824,1517389097
tictoc__solve!,1,39473761945,3389713486,2088981405
Ranks,3
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2916052659,145544719,30110374
tictoc__mpi_recvwait,674,1720836838,183328,0
tictoc__mpi_recvcopy,674,2046204511,112733309,22682424
tictoc__mpi_sendwait,1124,2685578,305728,0
tictoc__mpi_norm,2,16709587,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,73831840,5669888,0
tictoc__volumeviscterms!,224,5663751780,469269226,230071787
tictoc__faceviscterms!,224,5995481956,443889975,464090139
tictoc__update_aux_diffusive!,224,57928,0,0
tictoc__volumerhs!,224,9688568938,791214437,699452113
tictoc__facerhs!,224,11673121907,828137837,851441524
tictoc__update!,224,499439709,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,44334934020,2897437265,1852920074
tictoc__solve!,1,43102880488,3388273725,2591887668
Ranks,4
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2753274272,145544591,75214431
tictoc__mpi_recvwait,674,4640231536,215680,0
tictoc__mpi_recvcopy,674,2054290718,112733053,66366938
tictoc__mpi_sendwait,1124,19668806,359680,0
tictoc__mpi_norm,2,174521320,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,74422427,5669888,0
tictoc__volumeviscterms!,224,5460839573,469321674,212073857
tictoc__faceviscterms!,224,5682703771,443746663,243755736
